VaryasyonID,Barkod,StokKodu,StokAdedi
20470,8681406512926,NBL-1019,5
20469,8681406512919,NBL-1019,6
20491,8681406502330,ECY-518,13
20567,8681406511974,VNS-8100-2,106
20566,8681406511981,VNS-8100-2,160
20565,8681406511998,VNS-8100-2,32
20593,8681406507731,ECY-515,2
20626,8681406506444,ECY-517,3
20800,8681406502828,TKT-102,2
21254,9000437591,SST-765,43
21996,8696722848574,001-018281,4
22016,8680570131865,001-018563,2
22029,8681406516030,SST-330,1
22248,9000437529,SST-751,42
22335,8681406521201,RBN-6012,18
22371,8680570175968,001-091019,3
22653,9000451122,SST-101,20
23120,9000450689,TK-0060-2,8
23133,9000450648,TK-0148-1,33
26713,8681406531088,SST-1483,3
23380,9000442028,MCT-1753,29
23659,9000454338,FDS-8097-3,47
23859,9000454091,FDS-8037,39
24167,9000454327,FDS-8096-3,49
24255,9000453938,FDS-8096-1,49
24306,9000454274,FDS-8125,43
24313,9000454281,FDS-8127-3,46
24898,9000454038,FDS-8128-3,41
26032,8681406514029,ECY-591,2
26084,8681406514784,ECY-639,4
26085,8681406514791,ECY-639,4
26094,8681406514845,ECY-640,3
26099,8681406514746,ECY-638,3
26108,8681406514890,ECY-641,0
26104,8681406514852,ECY-641,10
26197,8680570451284,001-018049,1
26200,8696722830326,001-018220,3
26203,8680570451321,001-018260,6
26447,8681406517907,MSP-105145,14
26557,8680570234283,001-018986,1
26710,8681406520044,DLD-6019-2,0
26711,8681406520051,DLD-6019-2,3
26733,8681406521140,DLD-6020-2,1
26893,8697951080063,283-000107,0
26904,8681406521782,ECY-647,6
26905,8681406521799,ECY-647,6
26906,8681406521805,ECY-647,6
26907,8681406521812,ECY-647,6
27426,8680570169813,001-018665,0
27013,8681406520556,IFN-5803-3,20
27041,8681406520488,IFN-5803-1,0
27137,8681406520921,IFN-5804-2,1
27141,8681406520884,IFN-5804-1,8
27290,8680570235068,001-018991,6
27294,8681406522666,CH-0203-3,1
27298,8681406523786,IFN-1008,2
27345,8681406524622,DLD-7013,3
28116,8681406525032,ECY-598,9
28117,8681406525049,ECY-598,8
28118,8681406525056,ECY-598,8
28368,8681406525988,ECY-652,2
28377,8681406525926,ECY-650,2
28493,8680570202008,001-018795,2
28982,8681406527432,IFN-2003,3
29004,8681406527852,NBL-1064,0
29032,8681406527487,IFN-2004,15
29055,8681406528095,PSN-4181,9
29065,8681406528361,ECY-659,9
29063,8681406528347,ECY-659,9
29064,8681406528354,ECY-659,7
29068,8681406528392,IFN-2009,0
29069,8681406528408,IFN-2009,0
29091,8681406528712,SST-347,10
29138,8681406529481,PSN-4180,7
29146,8681406529214,PSN-4101,4
29153,8681406529351,PSN-4142,5
29154,8681406529399,PSN-4162,1
29155,8681406529405,PSN-4162,5
29252,9000503611,ORK-4040-IND,0
29262,8681406529658,IFN-1084,11
29275,8681406529504,NBL-1065,16
29308,9000503833,SST-302,49
29309,9000503834,SST-302,49
29412,9000503837,SST-310,49
29438,9000504052,SST-3016,48
29468,8681406530661,SST-961,10
29471,8681406530678,SST-935,17
29487,8681406531057,SST-641,0
29498,9000503971,SST-633,49
29526,9000504038,SST-901,47
29584,8681406529702,ECY-654-2,1
29658,8681406529832,IFN-2020,6
29659,8681406529849,IFN-2020,6
29662,8681406519345,IFN-2018,5
29669,8681406529795,IFN-2019,1
29687,8681406529979,IFN-2025,0
29964,8681406531729,PSN-4100,7
29966,8681406531996,PSN-4226,7
29968,8681406531514,PSN-3222,2
29976,8681406531477,PSN-3207,10
29988,8681406531705,PSN-3276,7
30000,8681406531606,PSN-3250,5
30011,8681406532078,PSN-4253,9
30031,8681406531866,PSN-4211,8
30048,9000520921,SST-295,47
30049,9000520924,SST-837,46
30063,9000448332,SST-367,40
30161,8681406530913,VNS-300-1,5
30163,8681406530937,VNS-300-1,9
30170,8681406530845,VNS-100-3,8
30216,8681406531224,IFN-2031,0
30225,8681406531101,IFN-2028,9
30227,8681406531125,IFN-2028,2
30235,8681406532184,PSN-5062,2
19658,8681406504822,DNR-5016,0
19839,8698965525014,OTS-3212,0
20274,8681406509216,DLD-5038,0
20292,8681406509285,DLD-5039,3
20405,9000439503,NBB-11012,0
20490,8681406502323,ECY-518,4
20503,8681406509162,ECY-543,3
20567,8681406511974,VNS-8100-2,101
20566,8681406511981,VNS-8100-2,159
20565,8681406511998,VNS-8100-2,27
20788,8681406502880,TKT-100,3
20798,8681406502804,TKT-102,0
21197,8681078446505,LNT-8022-2,6
21554,8680570206273,001-018806,0
21558,8680570214957,001-018857,3
21657,9000448337,SST-368,50
21666,9000448360,SST-390,0
21719,9000451774,MSP-10000-46,1
21734,8681406516054,SST-397,17
21985,9000437338,SST-315-2,2
21984,8681406533082,SST-315-2,4
22029,8681406516030,SST-330,19
22463,8696722402523,001-018051,7
22653,9000451122,SST-101,19
22993,8681406516122,SST-346,12
23148,9000450663,TK-0148-3,42
23198,8681406516375,SST-308,16
23199,8681406516382,SST-308,15
26713,8681406531088,SST-1483,2
23659,9000454338,FDS-8097-3,48
23786,9000454439,FDS-8030-1,45
24511,9000453530,FDS-4976,49
24910,9000454455,FDS-8127-1,35
25913,8681406515101,DLD-5005,4
25951,8681406515279,DLD-6003-1,17
26044,8681406514180,ECY-595,0
26096,8681406514715,ECY-638,3
26201,8696722846952,001-018260,6
26207,8680570131896,001-018564,2
26441,8681406517945,MSP-105119,12
26444,8681406517914,MSP-105135,8
26561,8680570201292,001-018790,8
26509,8697951059069,278-000821,3
26644,8681406519109,ECY-645,1
26645,8681406519116,ECY-645,2
26646,8681406519123,ECY-645,2
26647,8681406519130,ECY-645,3
26648,8681406519147,ECY-645,2
27049,8680570228923,001-013126,2
27422,8696722402400,001-018050,4
27423,8696722402394,001-018050,4
26875,8681406522154,SST-314,4
26927,8681406519765,SST-336,8
26928,8681406519772,SST-336,5
27331,8697951000757,230-000006,0
27013,8681406520556,IFN-5803-3,18
27033,8681406520518,IFN-5803-2,35
27115,8681406522482,ECY-634-2,6
27120,8681406522437,ECY-644-2,8
27160,8680570228435,001-013125,2
27163,8680570447881,001-000036,4
27289,8680570235051,001-018991,6
27381,8681406524141,DLD-7003,2
27402,8681406521034,IFN-5804-5,4
27419,8680570141956,001-018584,0
27433,8681406514234,ECY-597,14
28112,8681406525117,ECY-519,12
28113,8681406525124,ECY-519,14
28114,8681406525131,ECY-519,16
28349,8681406526114,ECY-655,2
28360,8681406526053,ECY-654-1,1
28361,8681406526060,ECY-654-1,1
28362,8681406526077,ECY-654-1,2
28364,8681406526015,ECY-653,1
28365,8681406526022,ECY-653,1
28369,8681406525995,ECY-652,2
28370,8681406526008,ECY-652,3
28633,8681078460266,LNT-8039-2,0
28665,243719498766,SST-331-3,46
28693,8681406526848,DLD-6025-1,6
28811,8681406526916,ECY-658,3
28849,8681406527951,PSN-3166,2
28852,8681406527982,PSN-3167,5
28884,8681406528279,PSN-4131,6
28922,8681406530999,SST-297,7
28984,8681406527456,IFN-2003,8
29002,8681406527838,NBL-1064,7
29013,8681406527746,NBL-1061,0
29025,8681406527548,IFN-2005,5
29032,8681406527487,IFN-2004,11
29049,8681406528040,PSN-3170,1
29066,8681406528378,ECY-659,7
29065,8681406528361,ECY-659,8
29064,8681406528354,ECY-659,4
29069,8681406528408,IFN-2009,0
29229,8681406528774,IFN-1036,9
29234,8681406528804,IFN-1039,6
29253,8681406529740,DGN-5307-2,2
29271,8681406529542,NBL-1066,13
29272,8681406529559,NBL-1066,11
29273,8681406529566,NBL-1066,2
29310,9000504054,SST-3017,47
29313,9000503778,SST-14,49
29332,9000504057,SST-3018,49
29368,9000504096,SST-6515,48
29377,9000504101,SST-6530,48
29468,8681406530661,SST-961,9
29535,9000504035,SST-839,48
29550,9000504003,SST-795-3,46
29556,9000503982,SST-721,49
29659,8681406529849,IFN-2020,3
29662,8681406519345,IFN-2018,5
29663,8681406529856,IFN-2021,6
29968,8681406531514,PSN-3222,3
30000,8681406531606,PSN-3250,4
30022,8681406531361,PSN-3120,2
30033,8681406531880,PSN-4211,9
30041,8681406533068,SST-315-1,33
30083,8681406532191,PSN-5003,0
30085,8681406532146,PSN-6062,2
30088,8681406532214,PSN-5027,0
30166,8681406530883,VNS-100-4,6
30173,8681406530753,VNS-100-1,6
30176,8681406530784,VNS-100-1,2
30184,8681406530982,VNS-145-1,3
30207,8681406531255,IFN-2032,0
30213,8681406531316,IFN-2033,2
30215,8681406531217,IFN-2031,1
30216,8681406531224,IFN-2031,0
30226,8681406531118,IFN-2028,4
30227,8681406531125,IFN-2028,0
30230,8681406532344,PSN-4105,6
30233,9000521780,SST-319-2,49
30234,9000521781,SST-319-2,47
30237,9000524216,SST-1453,49
19659,8681406504839,DNR-5016,1
19854,8698965512038,OTS-3006,0
20267,8681406512322,DLD-5044,2
20292,8681406509285,DLD-5039,2
20502,8681406502033,ECY-543,6
20567,8681406511974,VNS-8100-2,100
20565,8681406511998,VNS-8100-2,26
21713,9000451768,MSP-10000-39,4
21734,8681406516054,SST-397,14
22029,8681406516030,SST-330,17
22335,8681406521201,RBN-6012,17
30239,9000524214,SST-830,49
26712,8681406531071,SST-1483,1
23287,9000437176,SST-1013,48
24887,9000454460,FDS-8127-2,41
25827,8681406525599,NYM-652,2
26040,8681406513862,ECY-587,28
26045,8681406514197,ECY-595,0
26061,8681406513992,ECY-590,0
26195,8696722649157,001-018049,0
26201,8696722846952,001-018260,5
26222,8681406516214,ECY-643-1,0
26598,8680570124805,230-000392,2
26645,8681406519116,ECY-645,1
26711,8681406520051,DLD-6019-2,2
27042,8681406520495,IFN-5803-1,1
27163,8680570447881,001-000036,3
27289,8680570235051,001-018991,5
27298,8681406523786,IFN-1008,1
27401,8681406521027,IFN-5804-5,3
28296,869000002896,DGL-7222,2
28361,8681406526060,ECY-654-1,0
28364,8681406526015,ECY-653,0
28368,8681406525988,ECY-652,1
28384,8681406526275,SST-294,4
28849,8681406527951,PSN-3166,0
29003,8681406527845,NBL-1064,11
29002,8681406527838,NBL-1064,5
29031,8681406527470,IFN-2004,1
29046,8681406527272,SST-371,3
29064,8681406528354,ECY-659,3
29162,8681406529443,PSN-4166,1
29359,9000504091,SST-6510-1,45
29449,9000503841,"SST-349 ",48
29468,8681406530661,SST-961,8
29566,9000504168,SST-725,48
29658,8681406529832,IFN-2020,2
29657,8681406529825,IFN-2020,7
29661,8681406519338,IFN-2018,3
29662,8681406519345,IFN-2018,4
29674,8681406519505,IFN-2016,1
30000,8681406531606,PSN-3250,3
30024,8681406531385,PSN-3120,9
30055,9000437635,SST-776,24
30063,9000448332,SST-367,39
30084,8681406532160,PSN-5055,4
30085,8681406532146,PSN-6062,1
