product_id,stok_kodu,miktar
23536,TSH904,18
23532,TSH900,4
23528,TSH896,2
23520,TSH888,1
23452,SPK155,8
23392,SGK983,1
23341,EB1648,1
23051,EB1492,5
22797,EB1457,2
22763,HH644,1
22761,HH642,2
22664,HH608,8
22653,HH598,8
22637,BK1990,4
22522,TSH856,1
22508,TSH842,2
22493,TSH827,3
22492,TSH826,1
22488,TSH822,4
22098,SPK128,8
21901,BKO3275,4
21821,BB1706,11
21818,BB1704,11
21574,EB1397,22
21560,EB1382,7
21545,BB1647,7
21355,EB1364,10
21310,TSH757,11
21252,EKP139,26
21251,EKP138,1
21247,EKP134,7
20840,SN304,10
20181,BKP2858,8
20060,BS1363,16
20037,BKO3215,6
20035,BKO3213,5
20033,BKO3211,1
20031,BKO3209,5
19714,WOZAJ-M,67
19173,BB1481,1
19042,BKO3045,38
19041,BKO3044,24
19039,BKO3042,15
19037,BKO3040,3
18761,BKP2674,7
18735,BKP2734,2
18479,SGK709,6
18221,EY148,6
18218,EY145,11
18208,EY134,4
17860,EY132,13
17859,EY131,10
17841,EY113,10
17654,SC247,16
17599,BLDV228,6
14934,BKP2148,2
13604,ERK164,9
13565,HZM138,156
13538,HZM111,2440
13537,HZM110,2640
13534,HZM107,240
13529,HZM102,180
13218,BKO2309,1
13191,BKO2282,9
13189,BKO2280,2
13156,BKO2247,26
11791,BS830,4
11341,BKO2101,5
10868,BKO2016,2
10753,"Clariss Kutu",264
9718,BKO1759,4
7386,BLZ101,25
7156,EB741,10
6972,AN131,3
5712,BB662,4
5654,BB633,7
5637,BB620,6
2617,BKP402,9
1215,BKO265,4
29059,BYK1033-KS,7
28985,BYK959-KS,4
28975,BYK949-KS,23
28945,EB2485-KS,3
28933,EB2473-KS,4
28927,EB2467-KS,7
28922,EB2462-KS,5
28872,BK2435,4
28846,BB2436-KS,14
28756,BB2409-KS,11
28755,BB2408-KS,5
28728,SN453-KS,22
28725,HH938-KS,2
28560,BB2403-KS,7
28497,EB2329,5
28249,BS2004-KS,0
28241,ES1415-KS,2
28187,BK2375,11
28153,BKP4252-KS,4
27898,BK2349,14
27732,ES1318-KS,5
27730,ES1316-KS,3
27712,ES1298-KS,9
27688,BS1924-KS,2
27642,CBS376-KS,6
27620,ERK657-KS,13
27598,ERK635-KS,8
27582,ERK619-KS,7
27580,ERK617-KS,3
27567,ERK604-KS,4
27560,ERK597-KS,0
27554,ERK591-KS,9
27536,ERK573-KS,14
27382,GG625-KS,0
27208,BB1939-KS,7
27203,BB1934-KS,1
26872,BKO3929-KS,5
26784,SN449-KS,5
26734,SN399-KS,5
26706,ERK506-KS,3
26589,EB2082-KS,3
25986,SGK1087-KS,1
25955,SGK1056-KS,2
25873,EB1885,9
25637,BB1886,5
25587,EB1878,17
25158,BS1665,4
22553,HH550,9
21644,BB1631,2
21628,BB1610,1
21613,BB1595,2
21558,EB1380,18
21355,EB1364,7
21251,EKP138,0
21125,ERK369,15
20840,SN304,9
18543,EY152,2
18213,EY140,1
17860,EY132,12
17761,TSH664,6
10753,"Clariss Kutu",261
7196,EB749,10
7077,BB962,4
6715,BB905,11
6408,EB861,15
29337,BK2482,10
29328,BK2473,11
29319,BK2464,11
29061,BYK1035-KS,7
29056,BYK1030-KS,2
29044,BYK1018-KS,11
29035,BYK1009-KS,9
29012,BYK986-KS,32
28965,EB2505-KS,1
28964,EB2504-KS,4
28955,EB2495-KS,4
28932,EB2472-KS,2
28922,EB2462-KS,0
28890,BK2453,0
28887,BK2450,8
28853,BK2416,2
28813,HH945-KS,18
28768,BB2421-KS,15
28725,HH938-KS,1
28724,HH937-KS,10
28722,HH935-KS,4
28714,HH928-KS,13
28711,BKP4277-KS,6
28561,BB2404-KS,4
28560,BB2403-KS,5
28514,ES1496-KS,6
28477,EB2313,2
28431,ES1452-KS,9
28328,EB2265-KS,7
28325,EB2262-KS,9
28287,BK2404,16
28286,BK2403,6
28284,BK2401,13
28280,EK1102,9
28253,BS2008-KS,5
28252,BS2007-KS,5
28250,BS2005-KS,4
28248,BS2003-KS,5
28247,ES1421-KS,8
28246,ES1420-KS,4
28245,ES1419-KS,4
28244,ES1418-KS,4
28233,BS1997-KS,17
28230,BS1994-KS,18
28214,BK2396,3
28174,BS1983-KS,15
28173,BS1982-KS,3
28169,BS1978-KS,14
28165,BY847-KS,20
28163,BY845-KS,22
28162,BY844-KS,26
28160,BY842-KS,40
28159,BY841-KS,99
28158,BY840-KS,26
28157,BY839-KS,23
28148,BKP4247-KS,4
28133,BKP4232-KS,6
28129,BKP4228-KS,8
28126,BKP4225-KS,11
28119,BKP4218-KS,11
28110,ES1405-KS,11
28068,BS1969-KS,2
28005,BKO4077-KS,2
27994,HH919-KS,9
27991,HH916-KS,10
27973,BKP4207-KS,2
27971,BKP4205-KS,12
27956,EB2214-KS,72
27947,EK1070,3
27916,BY827-KS,42
27915,BY826-KS,38
27914,BY825-KS,31
27909,BY820-KS,5
27908,BY819-KS,33
27907,BY818-KS,43
27895,ES1387-KS,25
27894,ES1386-KS,15
27868,HH902-KS,3
27839,BKO4054-KS,5
27838,BKO4053-KS,4
27833,BK2341,0
27808,ES1369-KS,9
27773,ES1334-KS,11
27729,ES1315-KS,7
27721,ES1307-KS,2
27720,ES1306-KS,8
27706,ES1292-KS,4
27695,ES1281-KS,1
27693,ES1279-KS,8
27688,BS1924-KS,3
27686,BS1922-KS,0
27679,BS1916-KS,12
27673,BS1910-KS,1
27672,BS1909-KS,5
27671,BS1908-KS,3
27645,BS1882-KS,3
27625,CBS359-KS,14
27603,ERK640-KS,3
27598,ERK635-KS,6
27579,ERK616-KS,24
27565,ERK602-KS,3
27557,ERK594-KS,2
27554,ERK591-KS,9
27553,ERK590-KS,1
27553,ERK590-KS,1
27553,ERK590-KS,1
27538,ERK575-KS,11
27536,ERK573-KS,15
27532,ERK569-KS,15
27523,ERK560-KS,12
27518,ERK555-KS,3
27487,BKO4047-KS,52
27484,BKO4044-KS,52
27480,BKO4040-KS,3
27416,BS1876-KS,10
27413,BS1873-KS,2
27409,BS1869-KS,10
27352,ES1193-KS,0
27346,ES1187-KS,10
27342,ES1183-KS,1
27342,ES1183-KS,1
27223,BB1954-KS,3
27220,BB1951-KS,5
27206,BB1937-KS,2
27203,BB1934-KS,2
27188,HH860-KS,3
27187,HH859-KS,29
27172,BS1868-KS,4
27170,BS1866-KS,3
27167,BS1863-KS,0
27147,BB1913-KS,3
27138,BKO4010-KS,3
27131,HH843-KS,2
27117,HH829-KS,4
27095,HH807-KS,13
27089,HH801-KS,20
27088,BKP4031-KS,4
27070,BKP4013-KS,3
27069,BKP4012-KS,3
27061,BKP4004-KS,4
27056,BKP3999-KS,7
27049,ERK538-KS,2
26971,BK2306,4
26963,BS1857-KS,6
26961,BS1855-KS,1
26959,BS1853-KS,0
26958,BS1852-KS,1
26920,BKO3977-KS,5
26909,BKO3966-KS,12
26863,ES1171-KS,7
26861,ES1169-KS,3
26860,ES1168-KS,4
26853,ES1161-KS,1
26825,BKP3996-KS,13
26823,BKP3994-KS,17
26818,BKP3989-KS,10
26817,BKP3988-KS,4
26811,BKP3982-KS,15
26806,BKP3977-KS,13
26747,SN412-KS,7
26662,BK2256,8
26609,SGK1124-KS,4
26556,EB2049-KS,1
26544,EB2037-KS,5
26538,EB2031-KS,10
26513,EB2006-KS,2
26432,BK2255,1
26406,SGK1120-KS,2
26374,BK2215,17
26174,BS1801-KS,9
26153,BKP3970-KS,4
25966,SGK1067-KS,4
25946,SGK1047-KS,4
25942,SGK1043-KS,4
25930,BS1780-EB,4
25898,EB1910,8
25889,EB1901,12
25850,BY359,8
25725,BKP3926,3
25688,SGK1027,0
25627,BB1876,3
25620,BKP3934,15
25619,BKP3933,11
25614,BKO3867,14
25610,BKO3862,15
25606,BKO3861,5
25557,EB1848,6
25537,BS1773,11
25445,EB1779,15
25301,BS1705,21
25295,BS1759,4
25030,BKP3782,3
25029,BKP3781,0
25024,BKP3776,2
25019,BKP3771,10
25010,EK972,2
24916,BKO3773,0
24911,BKO3768,2
24817,BKO3731,2
24729,BB1854,36
24715,BB1840,19
24659,BKO3694,12
24596,BKO3631,19
24464,BS1606,6
24369,EB1709,0
24328,EB1702,11
23789,ES1089,19
23659,HH682,9
22599,HH576,11
22238,BS1550,7
21753,BB1664,2
21650,HH382,2
21613,BB1595,3
21609,ES1048,2
21577,EB1400,3
21557,EB1379,2
21359,EB1368,15
21330,EB1339,12
21233,EKP120,11
21158,BKP3027,1
21140,BS1478,6
21134,ERK378,8
21125,ERK369,12
20878,SN322,11
20781,ERK277,3
20687,HH357,3
20685,HH355,11
20625,BS1444,3
20179,BKP2856,6
20174,BKP2851,5
20087,BKP2806,2
20029,BKO3207,11
19894,BB1515,18
19371,SGK829,2
19084,ES943,3
18218,EY145,10
17859,EY131,7
15246,BKP2215,3
15156,BS960,2
14952,BKP2166,2
13565,HZM138,144
13156,BKO2247,27
11544,BKP1711,3
11038,BKP1679,4
10910,BKP1386,42
10753,"Clariss Kutu",213
10703,BKP1420,9
10702,BKP1419,5
10570,BKP1465,3
10557,BKP1452,2
10550,BKP1445,2
9718,BKO1759,1
